Quantity,Name,Tags,Scryfall ID,Mana Value,Colors,Identities,Mana cost,Types,Sub-types,Super-types,Scryfall Oracle ID
1,East-Mark Cavalier,,9be412c0-45d4-4856-a8cf-63a5a822dc5c,2,White,White,{1}{W},Creature,"Human,Knight",,884d08bf-7e97-40cc-864e-445ae0bd1646
1,Ebony Rhino,,81db749e-a1df-4615-9449-94731fa23a9f,7,,,{7},"Creature,Artifact",Rhino,,3d2b5201-c2bf-4753-89ad-543795740216
1,Eccentric Farmer,,f21024b7-b157-4c18-b05c-ba5d3f5b4eb9,3,Green,Green,{2}{G},Creature,"Human,Peasant",,b51a852c-ccde-4d23-a3f3-a002f7eacdab
1,Eccentric Pestfinder // Turn Stones,,508e1dd7-edbd-4b76-90bc-ff58c55b58a3,4,"Green,Black","Black,Green",{2}{B}{G} // {B}{G},Creature,"Druid,Troll",,dfaa02d4-4f3c-4e5d-b9e5-283a45395a53
1,Echo of Dusk,,319a457c-89b7-47f6-a13c-20bb50d41138,2,Black,Black,{1}{B},Creature,"Vampire,Spirit",,fd0980ae-eabf-45da-98e7-23d81bfa185a
1,Eclipsed Steppe,,d890999a-dcc7-479e-b0f0-60388c737043,0,,"White,Black",,Land,"Plains,Swamp",,6216635f-8e6e-40a3-9659-ef6352ab92ce
1,Edgewall Pack,,acda9d02-00fc-49e2-a9f3-176e9c0a8c5f,4,Red,Red,{3}{R},Creature,Dog,,ef702a1a-4ace-43e0-8e86-dcceb0b1e4d5
1,"Edric, Spymaster of Trest",,2183cfb3-6bf5-4fbc-b535-a42ba954e8a3,3,"Green,Blue","Blue,Green",{1}{G}{U},Creature,"Elf,Rogue",Legendary,9a1de7e4-9930-4db3-a8f3-d146d0abf38b
1,Eel-Hounds,,05a50445-6d0f-423d-b27b-b2b0611f85d5,4,Green,Green,{3}{G},Creature,"Fish,Dog",,25432a3a-bcfd-4c43-b662-07676e9b3fdd
1,Eerie Soultender,,335f3146-743c-4a25-86b5-c45e9c66eb15,3,Black,Black,{2}{B},Creature,"Cleric,Spirit",,a3e4d14b-818a-4a4b-8462-1de9ad844941
1,Eidolon of Blossoms,,8dbb2112-85b9-49cf-9ed5-9273829c34f1,4,Green,Green,{2}{G}{G},"Creature,Enchantment",Spirit,,77ccbea1-70af-4194-adad-39a904221c75
1,"Elas il-Kor, Sadistic Pilgrim",,552fbde6-515d-457e-81c9-d67157eaaf37,2,"White,Black","White,Black",{W}{B},Creature,"Cleric,Kor,Phyrexian",Legendary,a4d33e21-d3fe-4d5b-903c-b75e859d6f7f
1,"Elas il-Kor, Sadistic Pilgrim",,1c3f0ffe-cf51-4c30-8cd5-9e3c7e92c019,2,"White,Black","White,Black",{W}{B},Creature,"Cleric,Kor,Phyrexian",Legendary,a4d33e21-d3fe-4d5b-903c-b75e859d6f7f
1,Eldrazi Conscription,,33965c48-a7ce-4a04-8251-8eeb2d908c0b,8,,,{8},"Enchantment,Kindred","Aura,Eldrazi",,3635e4e5-e655-45f4-a444-39756f55129a
1,Eldrazi Spawn,,1e820258-933f-4ad2-b63b-c6cd7f5bddf3,0,,,,"Creature,Token","Eldrazi,Spawn",,3aaf906a-e749-4e86-ac79-97650b92f271
1,Eldritch Evolution,,efcb00e5-2caa-45c8-ad19-05d45c683d16,3,Green,Green,{1}{G}{G},Sorcery,,,0f77c0c9-4dc4-489a-b547-e93287c4d1a5
1,Electric Revelation,,d06023c5-8cb8-4d67-bba6-8dd5201a25dd,3,Red,Red,{2}{R},Instant,,,c92af0f4-e5f1-4731-a781-b2ca360867a7
4,Electrify,,60bee89d-d916-4095-830f-6270f8c4f0d8,4,Red,Red,{3}{R},Instant,,,da952213-9a3c-4e13-bc5a-55d1e5dbaa5b
1,Electrodominance,,85e29bdc-938e-4132-813e-70c5e922efaf,2,Red,Red,{X}{R}{R},Instant,,,4a59d86e-405d-4c70-b2a5-c64f5cecfd9e
1,Elemental,,462bb611-5a02-441c-ae8a-911b75436864,0,Red,Red,,"Creature,Token",Elemental,,1a6c2152-71ca-46be-ab83-c84633442257
1,Elemental Bond,,8efbc925-54ac-4dda-82af-9091b1cf2fda,3,Green,Green,{2}{G},Enchantment,,,d9a7e5a6-3e41-4fc6-987a-18fe1b9d67dd
1,Elephant,,2be112a9-0c95-4b38-a94f-cfb87791f06e,0,Green,Green,,"Creature,Token",Elephant,,079c46cc-feb0-4998-8593-c8b739afdb82
1,Elephant-Rat,,0568f28f-e830-4a7a-91d3-43e78bb86c8f,2,Black,Black,{1}{B},Creature,"Rat,Elephant",,84557d9d-ee22-46c9-8f4a-62a440fb302f
3,Elf Warrior,,1e050305-6f8b-4261-a4b4-c9fa1dc99b0f,0,Green,Green,,"Creature,Token","Warrior,Elf",,dac8a765-6845-4b57-bb79-4ec463436f92
1,Eliminate the Impossible,,486f1cc2-c162-448e-91a9-577d7d796584,2,Blue,Blue,{1}{U},Instant,,,c78d4cec-6764-4cce-96d2-a2d85a57b218
1,Elite Interceptor // Rejoinder,,2970683e-e69c-42cb-a067-34abd56fb42b,1,White,White,{W} // {1}{W},Creature,"Human,Wizard",,d97de156-5a6d-4dc6-953e-d4bad63cbad2
1,Elite Interceptor // Rejoinder,,2970683e-e69c-42cb-a067-34abd56fb42b,1,White,White,{W} // {1}{W},Creature,"Human,Wizard",,d97de156-5a6d-4dc6-953e-d4bad63cbad2
1,Ellivere of the Wild Court,,45851394-b8f3-4713-8239-afcb387d47c5,4,"White,Green","White,Green",{2}{G}{W},Creature,"Human,Knight",Legendary,97f9b82f-b3cf-44ff-9abc-2d92d7cbaa27
1,"Elrond, Lord of Rivendell",,308465a9-2143-49f2-b9d0-a09272dd1b62,3,Blue,Blue,{2}{U},Creature,"Elf,Noble",Legendary,099ae8f2-5c84-43ab-aaa1-ea69f2bba784
1,Elsha of the Infinite,,c0728027-a1ec-4814-87c4-10c3baced0e0,5,"White,Red,Blue","White,Blue,Red",{2}{U}{R}{W},Creature,"Djinn,Monk",Legendary,da339200-ed26-42e4-b24f-b96bc4daef7c
1,"Elsha, Threefold Master",,eee11606-5902-41d3-aec6-d6a3da01091b,3,"White,Red,Blue","White,Blue,Red",{U}{R}{W},Creature,"Djinn,Monk",Legendary,d8ccbd72-6429-43cb-a0a9-ab56e97a2d53
1,Elven Farsight,,73d135b2-d2b8-499c-84d9-824370c19ccc,1,Green,Green,{G},Sorcery,,,04b35e95-2963-4a0a-bd1c-d516cda2dd37
1,Elvenking's Harper,,9c50656d-c74a-4e90-9ef7-afa237682516,2,Blue,Blue,{1}{U},Creature,"Elf,Bard",,7d070a95-49ea-4aea-b512-dbb0006a00ee
1,Elven Passage,,dd1fd2ab-2565-4798-a832-fc849df82f74,0,,,,Land,,,97a2cd39-6b54-496b-b3ac-dab9dfed7edc
1,Elvish Mystic,,d618c3ea-f823-4fe0-8e11-65d5965528d3,1,Green,Green,{G},Creature,"Elf,Druid",,3f3b2c10-21f8-4e13-be83-4ef3fa36e123
1,Elvish Vatkeeper,,b3227c07-9ef2-46a6-9b4f-bbd6ef12f4a5,3,"Green,Black","Black,Green",{1}{B}{G},Creature,"Elf,Phyrexian",,b881d61c-d7cf-49af-bed7-3bc657ea1208
1,Elvish Visionary,,367ef35a-528b-407c-8b8d-679109662bae,2,Green,Green,{1}{G},Creature,"Elf,Shaman",,c6a3a882-a127-4590-93d7-679ef4313efe
1,Embereth Veteran,,bc7130b8-3168-421f-912a-46ed5b769807,1,Red,Red,{R},Creature,"Human,Knight",,2c232056-9dd6-4a78-be08-3bff19daa88d
1,Emblem of the Warmind,,03ab2a41-315b-439c-b02c-f12335fc903a,2,Red,Red,{1}{R},Enchantment,Aura,,86e88219-0f8e-405d-8439-c3b4acf11330
1,Empty the Warrens,,06462b57-1b0e-4c9c-9531-c14b9f2d5a3b,4,Red,Red,{3}{R},Sorcery,,,3a59c882-8bb8-49ba-862f-125020dd5bec
1,"Emrakul, the World Anew",,b914bfd9-5be3-4459-a68a-9b3ea2747bbc,12,,,{12},Creature,Eldrazi,Legendary,33300e69-29f6-41e4-92ab-82d8b018b217
1,"Emry, Lurker of the Loch",,c977d89a-bfd1-4e98-9d95-3e41c53dd188,3,Blue,Blue,{2}{U},Creature,"Wizard,Merfolk",Legendary,da3e7d3d-2ca0-40c3-9602-fca37c92f507
1,Enchanted River's Grasp,,ad40a4b9-9fab-49c1-8e9f-6e0776966833,3,Blue,Blue,{2}{U},Enchantment,Aura,,fcc9f3bc-0bc3-4189-a4d0-9698594b99a8
1,Enchantress's Presence,,3f50538b-f866-4e75-8856-2ad8af635011,3,Green,Green,{2}{G},Enchantment,,,795b096a-2bce-4588-a2c9-abc5ea40dc0c
1,End Hostilities,,80a53ed7-a7b7-40d8-9239-cf6f205dbc59,5,White,White,{3}{W}{W},Sorcery,,,7b2e2c4b-b8fd-440c-8a79-de6532022745
1,Endless One,,00b3c10a-799f-4922-bb0a-44981b13203b,0,,,{X},Creature,Eldrazi,,7a51780a-fa28-4ee0-94c7-4330800ca9cb
1,End of the Hunt,,0809b51a-6a05-4f18-9bf4-1b8382da648f,2,Black,Black,{1}{B},Sorcery,,,74b8182e-54be-444a-97b1-84fc5fd3c290
1,"Endrek Sahr, Master Breeder",,123490fb-5908-45f2-b376-7959ccdf9c3e,5,Black,Black,{4}{B},Creature,"Human,Wizard",Legendary,47a0079f-3544-45bc-a32a-bd93844c8c43
1,End the Festivities,,bec748e6-7245-4a71-aeee-cefed8346948,1,Red,Red,{R},Sorcery,,,09618da4-6e2d-4047-96d7-0576c0754e7d
1,Enduring Bondwarden,,eb0680eb-ceca-44d9-9654-78ea2ccfce17,1,White,White,{W},Creature,"Human,Scout",,c17d4818-5825-4bff-8fc5-5fd740cc0c70
1,Enduring Courage,,f46ac55f-d68e-4d5d-af0a-3879f97f705e,4,Red,Red,{2}{R}{R},"Creature,Enchantment","Dog,Glimmer",,b3de29cb-7d7d-4566-b5bf-37e571bd5d78
1,Enduring Tenacity,,d5756d4b-3068-412c-8643-880d3459151e,4,Black,Black,{2}{B}{B},"Creature,Enchantment","Snake,Glimmer",,98e698ae-1a69-469c-9cfb-0e3fedeb71d4
1,Energybending,,6c085441-e023-4032-89a0-d24ce5060ac3,2,,,{2},Instant,Lesson,,c4c1e49d-5f14-486c-acf2-1952512b12b2
1,Energy Tap,,9f67692d-9df6-4841-a36b-26c28110b63b,1,Blue,Blue,{U},Sorcery,,,106ae855-574b-411d-8689-cbb9eeb4f602
1,Engulfing Eruption,,f198c7e3-8a85-48f3-a7c2-93320fd4fb81,4,Red,Red,{2}{R}{R},Sorcery,,,27b4fee0-ae46-4d15-96cd-aff8f3009de8
1,"Ennis, Debate Moderator",,d2ef31b4-24fa-4443-9f05-c8e99c3522e5,2,White,White,{1}{W},Creature,"Human,Cleric",Legendary,97e1fcdf-04e8-40cf-b04a-8505d9b7cecc
1,Enraged Huorn,,a9b48836-6d37-46eb-8c41-a3eeecc72ae1,5,Green,Green,{4}{G},Creature,Treefolk,,8a7dbf4e-f121-40c5-a688-3398e04c1311
1,Enter the Avatar State,,a8f3d2cb-d073-4df8-8769-49612628a377,1,White,White,{W},Instant,Lesson,,4e552be1-0702-4e18-822f-98611f8a8e70
1,Enter the Enigma,,cf5479c7-9e46-4a57-abe7-8cc670de89e4,1,Blue,Blue,{U},Sorcery,,,67554654-e751-4679-9e92-f3588525ae4f
1,Enthusiastic Mechanaut,,fbfcbfed-74c7-4b1e-897c-44f25e45a4a5,2,"Red,Blue","Blue,Red",{U}{R},"Creature,Artifact","Goblin,Artificer",,c9722086-23e8-43dc-8a8c-541ff6962318
1,Entish Restoration,,cd4dbf80-187b-40e3-9e0b-526f78d9a34e,3,Green,Green,{2}{G},Instant,,,736017e2-bc33-49e8-812d-1639443fdb51
1,Entrancing Melody,,15732049-7e56-432f-881f-215e45b7a70e,2,Blue,Blue,{X}{U}{U},Sorcery,,,f9f82958-a7c6-4161-b0d8-fdbf7a3dd911
1,Entropic Battlecruiser,,cc59796b-9025-44b6-a188-cf6684ebffb9,4,Black,Black,{3}{B},Artifact,Spacecraft,,90c5ea2b-d004-4219-b60c-d51bc1a5ee6b
1,Ephemerate,,621e3239-b527-4154-bce6-b51241809fc5,1,White,White,{W},Instant,,,0fd57894-b917-41c8-a394-360d1d31b236
1,Epic Confrontation,,35ba6c05-a4c2-422b-a4cb-852b3aef77a5,2,Green,Green,{1}{G},Sorcery,,,31123cb5-2dd5-4f2b-a2fd-8f87095972c6
1,Epic Downfall,,3b4a6804-04f5-4467-bb1c-9466a47bc55f,2,Black,Black,{1}{B},Sorcery,,,ed5d6aba-0b8d-48b3-a84c-618f45fb67b1
1,Epicure of Blood,,40b03528-f4ec-4825-ba4c-c485cb4eab3a,5,Black,Black,{4}{B},Creature,Vampire,,bdb319a6-a1cd-44f5-999d-af1bb55b2fc4
1,Era of Enlightenment // Hand of Enlightenment,,74f43827-2b9b-4fc9-a6e2-c682dfbf14f7,2,White,White,,Enchantment,Saga,,a6d646e8-0d84-489b-a46a-3bd5b1141864
1,Erebor Flamesmith,,552730c5-e3a6-468f-91b2-82c272dda400,2,Red,Red,{1}{R},Creature,"Artificer,Dwarf",,6eb93545-a1a6-4447-82c5-421d8e9f023d
1,Erebos's Emissary,,5aa96f63-d5c3-47d3-a54d-a67883406fc5,4,Black,Black,{3}{B},"Creature,Enchantment",Snake,,dc39c52b-9bee-4cec-a970-1867314944ef
1,Eriette's Whisper,,dfed2acf-9ac8-447b-94f5-7db3a713c991,4,Black,Black,{3}{B},Sorcery,,,27ca3201-a374-4a9d-b0ba-93b391f36844
1,Eroded Canyon,,5c9d080f-28d7-41d6-a4e0-5b3e3a5ed770,0,,"Blue,Red",,Land,Desert,,852c6520-d148-4923-a312-05a9af821f24
2,Erosion,,5f4b6507-89ee-482e-aafd-8e05ada8f1ce,3,Blue,Blue,{U}{U}{U},Enchantment,Aura,,155ee24f-a458-4df4-86d5-5eb7396ebf45
1,Erstwhile Trooper,,351ee4ba-882d-48c1-837d-e9eccc5bc50d,3,"Green,Black","Black,Green",{1}{B}{G},Creature,"Soldier,Zombie",,a1640d9a-367f-4b90-bd4d-18f2c9244ccf
1,Ertai's Scorn,,6129b0d3-b50a-4a4b-9111-39f8fc6718dd,3,Blue,Blue,{1}{U}{U},Instant,,,76e6c0e7-593a-4b4a-9eb6-a912f9c3f26f
1,Escape Tunnel,,93ddde4f-d35e-4128-8f43-d0eadbd715de,0,,,,Land,,,0056fc91-4398-471c-b561-7ff99750ac8a
1,Esgaroth Garrison,,573f67b0-6ce8-4857-a703-4a5728640736,5,White,White,{4}{W},Creature,"Human,Soldier",,84597236-2cfc-4654-b126-a8ee252f4d14
1,Esgaroth Garrison,,573f67b0-6ce8-4857-a703-4a5728640736,5,White,White,{4}{W},Creature,"Human,Soldier",,84597236-2cfc-4654-b126-a8ee252f4d14
1,Essenceknit Scholar,,2a3cba55-3fae-4d45-ae03-4d662ec13718,3,"Green,Black","Black,Green",{B}{B/G}{G},Creature,"Dryad,Warlock",,dd757328-0593-4fc7-a099-e82f5c0677ff
1,Essence Leak,,9099b2e6-9ed8-4a9c-97ca-77cc47678228,1,Blue,Blue,{U},Enchantment,Aura,,cb02daf6-9013-4ccc-bf1f-773b757ac468
1,Essence Scatter,,b7ad4441-e300-4267-bedb-4ae6a64f59cd,2,Blue,Blue,{1}{U},Instant,,,46665089-aa3d-44c3-964d-6638dfbb5782
1,Essence Scatter,,49bd28e3-1612-41b3-88a0-bb5c1ee60ace,2,Blue,Blue,{1}{U},Instant,,,46665089-aa3d-44c3-964d-6638dfbb5782
1,Essence Warden,,ff09be4d-bbcc-4c25-9df2-b3df07fca955,1,Green,Green,{G},Creature,"Elf,Shaman",,6ca2a89e-7032-4864-b4e9-66f3178f90ab
1,"Etali, Primal Storm",,b6af9894-95b5-4c8e-902f-a9ba70f02e4a,6,Red,Red,{4}{R}{R},Creature,"Elder,Dinosaur",Legendary,078def07-ae5d-4591-8db6-d156834aab97
2,Etali's Favor,,6d4075a8-c15d-4078-bf4b-0f85c03fecec,3,Red,Red,{2}{R},Enchantment,Aura,,df98b93b-0aa6-4bea-9d8d-798ebc795b0b
1,Etched Cornfield,,f8900b89-0e10-4602-bba2-da8d60ea5885,0,,"White,Green",,Land,,,6ccca5c2-66c3-495a-8d9e-1a9805569e52
1,Etched Host Doombringer,,b2f1afa2-ca71-49cf-953b-d5dfc60c178f,5,Black,Black,{4}{B},Creature,"Demon,Phyrexian",,85c799e9-74d5-459e-b168-b95ed78cd4e9
1,Eternal Thirst,,14ab1802-1756-44cf-8cf5-ca69f24875f2,2,Black,Black,{1}{B},Enchantment,Aura,,a1b66fbf-14a3-4582-8414-53f432f96dad
1,Eternal Witness,,d4448f49-ebe8-43f1-958f-308c4c20a01f,3,Green,Green,{1}{G}{G},Creature,"Human,Shaman",,30b24e8e-3b0e-4d8e-90f3-f66eb7c1858c
1,Ethereal Armor,,19557197-521d-4900-a260-1a21e49113f5,1,White,White,{W},Enchantment,Aura,,dbba75f5-2404-4bd5-982b-f6c4effa5316
1,Eureka Moment,,e400c9b7-c789-49dd-9f72-b9d1df03fcca,4,"Green,Blue","Blue,Green",{2}{G}{U},Instant,,,0e2c11b2-d95f-4402-9a4a-afd3f7ffb8be
1,Eusocial Engineering,,011bd7d8-6d60-482a-91b7-d3f0aad13b71,5,Green,Green,{3}{G}{G},Enchantment,,,2f3f5a1c-8b88-4080-bd80-14db4d6c8c50
1,Evacuation,,854ccd5e-64af-40f6-a831-8d0cd4a0b204,5,Blue,Blue,{3}{U}{U},Instant,,,fdd94383-b573-439a-8e1c-925af887c5a6
1,Ever After,,9a530a54-2711-4858-bc88-559d90be4f05,6,Black,Black,{4}{B}{B},Sorcery,,,86be501c-6f05-4ce0-adb0-7adb135bfb93
1,Everflowing Chalice,,01c18d57-16a7-4cc0-b086-81c4b9a166c7,0,,,{0},Artifact,,,0a79237e-0811-4a8a-bd4d-db3ca91bff22
4,Eviscerator's Insight,,b00573bd-5bbb-4531-a0bb-a40f62b92b88,2,Black,Black,{1}{B},Instant,,,81a398ee-e534-43b7-88fe-45155d6aba3a
1,Evolution Sage,,d089c2c1-e304-4f28-8700-5b9b3029bdbc,3,Green,Green,{2}{G},Creature,"Elf,Druid",,b45fdeab-00cc-4422-af9f-66f30a880a7c
1,Evolution Witness,,4d89283e-9783-4006-9294-4ae0473d2ce6,3,Green,Green,{2}{G},Creature,"Elf,Shaman,Mutant",,0e07f1af-5ff6-4da5-8683-aea4cc390975
1,Evolving Adaptive,,13366c60-1200-4ad2-bbf4-77596121fcd2,1,Green,Green,{G},Creature,"Warrior,Phyrexian",,e350c2d5-0ca2-4b9c-b01f-a3c31cbf8d10
8,Evolving Wilds,,71afb548-691d-4c72-b369-85f9b451c71d,0,,,,Land,,,a75445d3-1303-4bb5-89ad-26ea93fecd48
4,Evolving Wilds,,e24ec4c1-5a28-450d-8e37-62a154749ee6,0,,,,Land,,,a75445d3-1303-4bb5-89ad-26ea93fecd48
1,Excalibur II,,d42e5fed-67ac-46d7-a5d4-78f661f3e8b4,1,,,{1},Artifact,Equipment,Legendary,bfb6651c-e0b3-4dbd-b26a-3eeb690985fc
1,Exchange of Words,,8c28cebf-f849-4353-9dd1-c62f05c15d0f,3,Blue,Blue,{1}{U}{U},Enchantment,,,a55ef412-257b-4ecd-9440-4545521be938
1,Exhibition Magician,,cbb4479f-3157-44b4-b18b-7553c7513118,3,Red,Red,{2}{R},Creature,"Human,Wizard",,758e68fd-76ba-467e-a756-c5daa7db16d5
1,Exhibition Tidecaller,,a58c364e-d0c5-41b9-8c8b-2e5a99468cc7,1,Blue,Blue,{U},Creature,"Wizard,Djinn",,d32c9439-4c97-412b-83cc-6d9acb48be3c
1,Exoskeletal Armor,,e111fcab-17f7-4a02-b4eb-606ba18812b3,2,Green,Green,{1}{G},Enchantment,Aura,,29358dcd-b26a-4720-9daa-7baa648e3540
1,Exotic Orchard,,a54b6832-9990-4144-99ef-990a9ad4c081,0,,,,Land,,,27b047e3-0d41-45e2-98e9-9391d7923a1e
2,Expanding Ooze,,bbdb095d-b826-4e3e-8c61-0d408e52d6b8,3,"Green,Black","Black,Green",{1}{B}{G},Creature,Ooze,,4feeb493-8db5-41d3-bd27-486052e61f28
1,Expedite,,59c65eb7-4353-45ce-9c2e-1791c2804ccf,1,Red,Red,{R},Instant,,,3501a839-eef5-44e4-8637-b5754780454e
1,Expedition Map,,8710f97d-28c7-4809-a4cd-81d08a7e3909,1,,,{1},Artifact,,,8fcf50cd-e6d0-4516-850f-d42ee75dcc3a
2,Expedition Map,,618eff8e-c1e6-488e-897c-891533608eab,1,,,{1},Artifact,,,8fcf50cd-e6d0-4516-850f-d42ee75dcc3a
1,Expedition Map,,c55bee97-593f-441f-b96c-a998d5212a55,1,,,{1},Artifact,,,8fcf50cd-e6d0-4516-850f-d42ee75dcc3a
1,Expel the Interlopers,,1094eef0-6c57-4bfa-a584-f708b87354fb,5,White,White,{3}{W}{W},Sorcery,,,744b7e93-c893-4770-a3bb-6a45b7f8e4f7
4,Experimental Synthesizer,,c47931c9-685d-4b83-8299-bc347224b4e8,1,Red,Red,{R},Artifact,,,11db299a-0918-46a3-b39b-16acc3f4e281
1,Experiment One,,3b551403-47dd-4c2b-95c8-0e2e674d6fcf,1,Green,Green,{G},Creature,"Human,Ooze",,8520ee67-439b-4f15-838b-420bacbb8b13
1,Exploration Broodship,,61596da3-2a0e-47d9-b707-8db4cce2479d,1,Green,Green,{G},Artifact,Spacecraft,,8a83ecee-092b-456c-803f-a9aaa17c4da9
1,Explore,,ab9dbf0b-2c1d-463c-b675-ff711c282e56,2,Green,Green,{1}{G},Sorcery,,,b8f566ea-8283-4afa-9ac8-737e26419283
1,Explore,,bd15599d-62a0-42e2-acf7-63d7220a4418,2,Green,Green,{1}{G},Sorcery,,,b8f566ea-8283-4afa-9ac8-737e26419283
1,Explorer's Scope,,ea3a9cdb-4842-44b3-8143-0fda31692600,1,,,{1},Artifact,Equipment,,a563ede9-b92f-4285-88f8-abcbdd017742
1,Explosive Derailment,,f0e3df9c-0a86-4e6f-a3c7-84a883328a3d,1,Red,Red,{R},Instant,,,b23dc81d-01bb-4bf0-9932-5d32a6b22cf7
1,Explosive Shot,,4ba682a6-1045-4ed6-ae95-bd5af8bd7224,2,Red,Red,{1}{R},Sorcery,,,a6081d17-599b-4fd2-bd68-55eca939213a
1,Expressive Iteration,,db54cb6f-25e0-4d5f-876e-a6aa66042d63,2,"Red,Blue","Blue,Red",{U}{R},Sorcery,,,c7aecca5-2f67-4245-ab2d-e723d8b23a67
1,Exsanguinate,,f11d7311-4066-4a5d-ba28-9857fa707a0b,2,Black,Black,{X}{B}{B},Sorcery,,,8164b1e8-3350-465e-8a17-75f57d326344
1,Exsanguinate,,3d9bb677-6b9a-4ccf-accc-b1a91be85b70,2,Black,Black,{X}{B}{B},Sorcery,,,8164b1e8-3350-465e-8a17-75f57d326344
1,Extinction Event,,f6bcf690-c532-4d2d-8458-78a5613a6090,4,Black,Black,{3}{B},Sorcery,,,0a11a3a8-ee5f-4caf-bf84-c8248e07c825
1,Extract a Confession,,256c8b6e-4031-458b-8eb9-bbfe58405a0c,2,Black,Black,{1}{B},Sorcery,,,96480e86-70a8-401d-abf8-a7d509311b73
1,Extraction Specialist,,b404d6c7-0b65-4c6a-b141-9dffbeb120db,3,White,White,{2}{W},Creature,"Human,Rogue",,4164034a-5e59-4e40-a150-2c1000b0bd0d
1,Extravagant Replication,,6a41dfae-bc7e-4105-8f7e-fd0109197ad8,6,Blue,Blue,{4}{U}{U},Enchantment,,,3a646245-b8b7-4f91-a312-d5eea9a9e49a
1,Eyeblight Massacre,,be00670b-64a8-428a-8db0-9119efddaa1b,4,Black,Black,{2}{B}{B},Sorcery,,,3b90dd70-798e-4dc4-99e7-b36d6823af2b
1,Eye of Malcator,,7cc4246b-ff59-44b2-acff-c0bb6e4cd6ac,3,Blue,Blue,{2}{U},Artifact,,,7270b5b6-a571-4e6d-91de-03f7cc035b3c
1,Ezuri's Predation,,ea020a19-2907-4627-8a3b-d481404f5aca,8,Green,Green,{5}{G}{G}{G},Sorcery,,,d0dd425b-fdba-41b4-b9e6-f5161610bd7e
1,Fabled Passage,,7c787c6b-b6c7-47a0-8f8d-761629f5568e,0,,,,Land,,,0c85b8f7-0bd0-4680-9ec5-d4b110460a54
1,Faceless One,,25564fba-5765-457b-8dd3-f26b877221b8,5,,,{5},"Creature,Enchantment",Background,Legendary,ef220170-c01a-4ca5-b887-f248c50227ee
1,Fact or Fiction,,74d189fc-48fe-40f5-ae56-34b4dfc068d0,4,Blue,Blue,{3}{U},Instant,,,437b2dab-15e0-4b9a-a204-58622d37a3b3
2,Fading Hope,,c2fb1fff-12be-4bd5-8dba-c36e84d49651,1,Blue,Blue,{U},Instant,,,64883ef2-c536-42e2-b52f-cfd1984fcdfd
1,Faerie,,276f075e-5fe5-4317-a31e-a19f65a963f4,0,Blue,Blue,,"Creature,Token",Faerie,,03fc0cae-a6d3-4fae-995d-038eb32c48ac
1,Faerie Artisans,,6a2fbd1c-21ad-4b79-b93a-4a5efdf52283,4,Blue,Blue,{3}{U},Creature,"Artificer,Faerie",,7dda40f2-7b5f-479c-86b6-8bc11fff9f4a
1,Faerie Vandal,,789c5c2b-3e51-4f6c-ac76-d276facf716f,2,Blue,Blue,{1}{U},Creature,"Rogue,Faerie",,b872f147-00eb-4cf8-af8c-4144356b2089
1,Faithful Watchdog,,b9afac99-a094-41a8-8323-90dec29691c4,2,"White,Green","White,Green",{G}{W},Creature,Dog,,139fb542-89fd-4b9e-87e6-ec925bcca93a
2,Faithless Looting,,dbf7f017-17a4-403e-8a8c-c76e36d55d9f,1,Red,Red,{R},Sorcery,,,3d6fa57a-aa53-4b5c-b8af-a7612c823117
4,Faithless Salvaging,,c6ed4077-4ed5-48fb-91c9-a9195d652978,2,Red,Red,{1}{R},Instant,,,0366ccfd-c717-4ea2-8176-86e184f920f4
1,Fake Your Own Death,,693635a6-df50-44c5-9598-0c79b45d4df4,2,Black,Black,{1}{B},Instant,,,ad01df89-29fe-44c7-a133-91425f8ff09c
2,Fallaji Archaeologist,,b0eab397-25a6-4377-8e12-e8acef9675cf,2,Blue,Blue,{1}{U},Creature,"Human,Scout",,bf037457-82e3-45fd-bc17-5bc25e66c15e
1,Family Reunion,,5c2cfbdc-8d40-4abb-afca-6c6d8e36185b,2,White,White,{1}{W},Instant,,,8972de18-2c49-4162-a285-264a44c0e675
1,Famished Foragers,,fdbe6937-ceda-4367-a101-562fd5e0e09d,4,Red,Red,{3}{R},Creature,Vampire,,e95f22dd-b89a-4836-86ad-5a9a1627af38
1,Fanatical Firebrand,,d1296316-7781-4e98-95e6-7020648be6a5,1,Red,Red,{R},Creature,"Goblin,Pirate",,d36e11f1-6ab3-4273-8114-a8fbbe21c1c3
2,Fanatical Strength,,4941fa74-c7b9-4468-8080-de8057d3d27b,2,Green,Green,{1}{G},Instant,,,b92e97f5-a307-471f-be06-afa4fcdab757
1,Fanatic of Mogis,,581eaadb-442b-40c9-b8f9-9e19d5eba824,4,Red,Red,{3}{R},Creature,"Minotaur,Shaman",,f19d06af-6caf-41d8-8d0a-d5d50bd67900
1,"Fandaniel, Telophoroi Ascian",,08c9bf6c-fc52-4565-96d1-951a314e59e5,5,Black,Black,{4}{B},Creature,"Wizard,Elder",Legendary,3909ff79-2103-407c-a812-a5a5a996fce2
1,Fanged Flames,,fcfac301-55db-49a7-9a0d-918c907703da,2,,Red,{1}{R},Sorcery,,,46515251-2172-4b0a-81ac-4c0120b73360
